Raw,Context,Region,AsiaNative,Also_nontrop
malaysia to new guinea,,"Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1,0
maluku to bismarck arch,,"Maluku, New_Guinea",1,1
middle east to india,,Indian_Subcontinent,1,1
myanmar to philippines,,"IndoChina, Philippines, Palawan",1,0
myanmar to vietnam,,IndoChina,1,0
n afr eastwards to north-west india,,Indian_Subcontinent,1,1
n afr through middle east to oriental reg,n afr through middle east to oriental reg & pacific islands,Unknown,1,1
n india to japan,,Indian_Subcontinent,1,1
nepal to laos,,"Indian_Subcontinent, IndoChina",1,0
nepal to russia,,Indian_Subcontinent,1,1
nepal to vietnam,,"Indian_Subcontinent, IndoChina",1,0
north africa to india,,Indian_Subcontinent,1,1
north to japan,"india to philippines, se seychelles, sw solomons & australia, north to japan",NA,0,1
oriental reg to australia,,Unknown,1,1
oriental reg to buru,,"IndoChina, Philippines, Palawan, Sulawesi, Maluku",1,1
oriental reg to china,,Unknown,1,1
oriental reg to new guinea,,"IndoChina, Philippines, Palawan, Sulawesi, Maluku, New_Guinea",1,1
oriental reg to philippines,,"IndoChina, Philippines, Palawan",1,1
oriental reg to taiwan,oriental reg to taiwan & lombok,IndoChina,1,1
oriental region to australia,,Unknown,1,1
oriental region to solomons,,Unknown,1,1
oriental to australia  nt,,Unknown,1,1
pakistan to china,,NA,0,1
pakistan to s china,,NA,0,1
philippines to new guinea,,"Philippines, Palawan, Sulawesi, Maluku, New_Guinea",1,0
philippines to vanuatu,,"Philippines, Palawan",1,1
russia to china and japan,,NA,0,1
ryukyu is s to java,,"IndoChina, Philippines, Palawan, Borneo, Java",1,0
ryukyu is to malaysia,,"IndoChina, Malaya",1,0
s asia s to south africa,s europe & s asia s to south africa & australia,Unknown,1,1
s china to new guinea,,"IndoChina, Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1,1
s se to indonesia  nusa tenggara,"s thailand se to indonesia (nusa tenggara, sulawesi & flores i)","IndoChina, Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas",1,0
s to australia,"       india to okinawa, s to australia
India, e to philippines, s to australia & solomons
japan, s to australia
india to japan, s to australia","IndoChina, Philippines, Palawan, Sulawesi, Maluku, New_Guinea",1,1
s to australia queensland,"india (assam) to okinawa, s to australia (queensland)","Indian_Subcontinent, IndoChina, Philippines, Palawan, Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1,1
s to east indies,"japan & korea, s to east indies",Unknown,1,1
"s to florida,cosmotropical",,Unknown,1,1
"s to florida,pantropical",,Unknown,1,1
s to india and australia,"japan, s to india and australia","Indian_Subcontinent, IndoChina",1,1
s to indonesia,"india to japan, s to indonesia","Indian_Subcontinent, IndoChina, Philippines, Palawan, Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1,1
s to java,"japan & korea, s to java","IndoChina, Philippines, Palawan, Borneo, Java",1,1
s to n,"europe, e to mongolia, s to n & e africa",NA,0,1
s to new guinea,"india to japan, s to new guinea
      sri lanka to okinawa, s to new guinea","Indian_Subcontinent, IndoChina, Philippines, Palawan, Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1,1
se asia from japan to australia,,"Indian_Subcontinent, IndoChina, Philippines, Palawan, Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1,1
se asia from new guinea to sri lanka,,"Indian_Subcontinent, IndoChina, Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1,0
se asia from philippines to new guinea and malaysia,,"Philippines, Palawan, Malaya, Borneo, Sulawesi, Maluku, New_Guinea",1,0
se asia from ryukyu is to malaysia,,"Philippines, Palawan, Malaya, Borneo",1,0
se asia from taiwan to india and nepal,,"Indian_Subcontinent, IndoChina",1,0
se asia to australia ?,,Unknown,1,0
se asia to india,,"Indian_Subcontinent, IndoChina",1,0
se asia to nepal,,"Indian_Subcontinent, IndoChina",1,0
se to australasian,"india to e russia & japan, se to australasian & oceanian region","Indian_Subcontinent, IndoChina, Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1,1
se to guadalcanal,"taiwan to philippines, sw to sumatra & se to guadalcanal","IndoChina, Philippines, Palawan, Sumatra, Borneo, Sulawesi, Maluku, New_Guinea",1,1
se to indonesia to java,"india & sri lanka e to s china & taiwan, se to indonesia (to java & sulawesi)","Indian_Subcontinent, IndoChina, Malaya, Sumatra, Java, Borneo, Sulawesi",1,1
south to java,"india to japan, south to java, australia (nsw) & solomon is
      sri lanka to china (fukien), south to java & sumatra, bismarck arch
india & nepal to vietnam, south to java      ","IndoChina, Malaya, Java",1,0
south to malaysia peninsular,"india to japan, south to malaysia (peninsular)","Indian_Subcontinent, IndoChina, Malaya",1,1
south to mediterrean and southern china,"southern germany to china, south to mediterrean and southern china",IndoChina,1,1
south to philippines,"india to japan, south to philippines","IndoChina, Philippines, Palawan",1,1
south to sri lanka,"india, south to sri lanka, east to sulawesi","Indian_Subcontinent, IndoChina, Malaya, Borneo, Sulawesi",1,0
south to taiwan,"sweden to japan (hokkaido), south to taiwan",IndoChina,1,1
southeast to new guinea,"nepal & india to japan, southeast to new guinea","IndoChina, Philippines, Palawan, Sulawesi, Maluku, New_Guinea",1,1
southern germany to china,,NA,0,1
sri lanka e to s china,"india & sri lanka e to s china & taiwan, se to indonesia (to java & sulawesi)","Indian_Subcontinent, IndoChina, Malaya, Sumatra, Java, Borneo, Sulawesi",1,1
sri lanka to china fukien,"sri lanka to china (fukien), south to java & sumatra","Indian_Subcontinent, IndoChina, Malaya, Sumatra, Java",1,1
sri lanka to china sichuan,,Indian_Subcontinent,1,1
sri lanka to okinawa,"sri lanka to okinawa, s to new guinea","Indian_Subcontinent, IndoChina, Philippines, Palawan, Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1,1
sri lanka to philippines palawan,,"Indian_Subcontinent, IndoChina, Palawan",1,1
sri lanka to vietnam,"india & sri lanka to vietnam & taiwan, introduced hawaii, marianas
india & sri lanka to vietnam, thailand, w malaysia, philippines, i ndonesia (sumatra)
Pakistan & sri lanka to vietnam, indonesia (maluku), introduced mau ritius""  ","Indian_Subcontinent, IndoChina",1,0
sulawesi to solomon is,,"Sulawesi, Maluku, New_Guinea",1,1
sumatra to borneo,,"Malaya, Sumatra, Borneo",1,0
sumatra to thailand,,"IndoChina, Malaya, Sumatra",1,0
sw to java,"taiwan to philippines, sw to java","IndoChina, Philippines, Palawan, Malaya, Java",1,0
sw to sumatra,"taiwan to philippines, sw to sumatra & se to guadalcanal","IndoChina, Philippines, Palawan, Sumatra, Borneo, Sulawesi, Maluku, New_Guinea",1,1
taiwan se to australia qld,india & taiwan se to australia (qld) & solomon is,"IndoChina, Philippines, Palawan, Sulawesi, Maluku, New_Guinea",1,1
taiwan south to flores japan,,"IndoChina, Philippines, Palawan, Sulawesi, Lesser_Sundas",1,1
taiwan to australia,taiwan to australia & pacific is,"IndoChina, Philippines, Palawan, Sumatra, Borneo, Sulawesi, Maluku, New_Guinea",1,1
taiwan to new guinea,,"IndoChina, Philippines, Palawan, Sumatra, Borneo, Sulawesi, Maluku, New_Guinea",1,0
taiwan to philippines,"      taiwan to philippines, sw to sumatra & se to guadalcanal
taiwan to philippines, s to indonesia (buru, sumbawa
      taiwan to philippines, sw to java, s new guiana (irian jaya), aru","IndoChina, Philippines, Palawan",1,1
thailand to china fukien,,IndoChina,1,1
to japan,"nepal & india, to japan & philippines","Indian_Subcontinent, IndoChina",1,1
to n india,"russia, to n india",Indian_Subcontinent,1,1
tropical africa thru india,tropical africa thru india & indochina to china & japan,"Indian_Subcontinent, IndoChina",1,1
vietnam se to new guinea,,"IndoChina, Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1,0
vietnam to philippines,,"IndoChina, Philippines, Palawan",1,0
w malaysia to new guinea,,"Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1,0
widespread from sri lanka to samoa and japan,,"Indian_Subcontinent, IndoChina, Philippines, Palawan, Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1,1
widespread hawaii to se asia,,Unknown,1,1
widespread in se asia from japan and korea to india,,"Indian_Subcontinent, IndoChina",1,1
widespread mainland afrotrop reg oriental reg to java,,"IndoChina, Malaya, Sumatra, Java",1,1
widespread orient to new guinea,,"IndoChina, Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1,1
widespread oriental reg to solomon is,,"IndoChina, Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1,1
widespread oriental to new guinea,,"IndoChina, Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1,1
widespread oriental to oceania,,Unknown,1,1
widley distributed from s china to new zealand,,"Indian_Subcontinent, IndoChina, Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1,1
